劳动教养	lao dong jiao yang 
斗式	dou shi 
国有企业	guo you qi ye 
教苑	jiao yuan 
野风	ye feng 
原野	yuan ye 
电器	dian qi 
搏达	bo da 
延缓	yan huan 
减免	jian mian 
石门	shi men 
设立登记	she li deng ji 
中房	zhong fang 
法人资格	fa ren zi ge 
宏厦	hong sha 
影剧院	ying ju yuan 
历藏	li cang 
文化交流	wen hua jiao liu 
经理助理	jing li zhu li 
总指挥	zong zhi hui 
枢纽	shu niu 
供销合同	gong xiao he tong 
扫描	sao miao 
下账	xia zhang 
乡镇政府	xiang zhen zheng fu 
口腔医院	kou qiang yi yuan 
保定市	bao ding shi 
人防办	ren fang ban 
民防	min fang 
人防	ren fang 
入帐	ru zhang 
东纽	dong niu 
亩数	mu shu 
直补	zhi bu 
收做	shou zuo 
交上去	jiao shang qu 
报账	bao zhang 
信合	xin he 
自筹资金	zi chou zi jin 
酒托女	jiu tuo nv 
分获	fen huo 
收银员	shou yin yuan 
酒托头	jiu tuo tou 
敢动	gan dong 
分值	fen zhi 
游戏	you xi 
常理	chang li 
工业盐	gong ye yan 
不具	bu ju 
食用盐	shi yong yan 
云因	yun yin 
征费	zheng fei 
卷烟厂	juan yan chang 
专项基金	zhuan xiang ji jin 
墙体	qiang ti 
任何借口	ren he jie kou 
维护费	wei hu fei 
每辆车	mei liang che 
瓦厂	wa chang 
旱地	han di 
水田	shui tian 
劳动保护	lao dong bao hu 
新集	xin ji 
农村公路	nong cun gong lu 
路网	lu wang 
统计数据	tong ji shu ju 
对定	dui ding 
鼓楼区	gu lou qu 
营业房	ying ye fang 
危险废物	wei xian fei wu 
废料	fei liao 
倾倒	qing dao 
树脂	shu zhi 
义务兵	yi wu bing 
中等职业	zhong deng zhi ye 
人口	ren kou 
在校学生	zai xiao xue sheng 
递交	di jiao 
开锁	kai suo 
省委党校	sheng wei dang xiao 
打印机	da yin ji 
同向史	tong xiang shi 
所骑	suo qi 
后轮	hou lun 
尾部	wei bu 
优秀党员	you xiu dang yuan 
荣誉证书	rong yu zheng shu 
评为	ping wei 
双牌县	shuang pai xian 
痊愈	quan yu 
住宅小区	zhu zhai xiao qu 
用房	yong fang 
街办	jie ban 
牵头	qian tou 
大烟囱	da yan cong 
工程系	gong cheng xi 
泥工	ni gong 
瓦工	wa gong 
内墙	nei qiang 
普工	pu gong 
大业	da ye 
平场	ping chang 
场平	chang ping 
阻挠	zu nao 
朝跃	chao yue 
年终奖金	nian zhong jiang jin 
棠悦	tang yue 
黑火药	hei huo yao 
散装	san zhuang 
炸药	zha yao 
生病	sheng bing 
外地	wai di 
监察员	jian cha yuan 
分成	fen cheng 
进房	jin fang 
钟房	zhong fang 
职员	zhi yuan 
诗山	shi shan 
副董事长	fu dong shi zhang 
雨具	yu ju 
日用	ri yong 
财务经理	cai wu jing li 
汇进	hui jin 
介休市	jie xiu shi 
含税	han shui 
分析仪	fen xi yi 
血糖	xue tang 
艺术设计	yi shu she ji 
艺源	yi yuan 
回收公司	hui shou gong si 
民用	min yong 
资产重组	zi chan chong zu 
组建	zu jian 
患者	huan zhe 
参合	can he 
西支	xi zhi 
居苑	ju yuan 
丝厂	si chang 
电量	dian liang 
电价	dian jia 
配装	pei zhuang 
电力工程	dian li gong cheng 
双韵	shuang yun 
失职	shi zhi 
充分考虑	chong fen kao lv 
封闭	feng bi 
技术参数	ji shu can shu 
基层社	ji ceng she 
探出	tan chu 
品位	pin wei 
适合	shi he 
作过	zuo guo 
起任	qi ren 
募集	mu ji 
代理服务	dai li fu wu 
咨询服务	zi xun fu wu 
精煤	jing mei 
华盈	hua ying 
推销	tui xiao 
交口县	jiao kou xian 
AA制	AA zhi 
洗脑	xi nao 
萝芙木	luo fu mu 
原始股	yuan shi gu 
原平市	yuan ping shi 
亲戚朋友	qin qi peng you 
回墙	hui qiang 
全资	quan zi 
大巴车	da ba che 
保车	bao che 
水政	shui zheng 
水务局	shui wu ju 
水资源	shui zi yuan 
饮用水	yin yong shui 
饮水	yin shui 
水法	shui fa 
股级	gu ji 
水事	shui shi 
送水	song shui 
水质	shui zhi 
结果显示	jie guo xian shi 
城市居民	cheng shi ju min 
五保户	wu bao hu 
低保户	di bao hu 
价铬	jia ge 
放生池	fang sheng chi 
连降	lian jiang 
暴雨	bao yu 
水位	shui wei 
动物	dong wu 
聚集	ju ji 
保护区	bao hu qu 
取水	qu shui 
义马	yi ma 
取用	qu yong 
重点	zhong dian 
该函	gai han 
西客站	xi ke zhan 
减排	jian pai 
渗井	shen jing 
监测站	jian ce zhan 
禁用	jin yong 
水产品	shui chan pin 
捕捞	bu lao 
出海	chu hai 
碱液	jian ye 
姐弟	jie di 
标是	biao shi 
标收	biao shou 
小舅子	xiao jiu zi 
打算	da suan 
看见	kan jian 
办公用品	ban gong yong pin 
妻弟	qi di 
高考	gao kao 
学籍	xue ji 
招收	zhao shou 
失地农民	shi di nong min 
建档	jian dang 
所填	suo tian 
客户服务	ke hu fu wu 
银行账号	yin hang zhang hao 
专户	zhuan hu 
疫苗	yi miao 
汇单	hui dan 
缴款单	jiao kuan dan 
提现	ti xian 
退票	tui piao 
羊肉	yang rou 
转钱	zhuan qian 
进来	jin lai 
随案	sui an 
出举	chu ju 
存卷	cun juan 
尿液	niao ye 
招行	zhao hang 
对面	dui mian 
集资房	ji zi fang 
仓房	cang fang 
过文	guo wen 
将文	jiang wen 
修建	xiu jian 
粮站	liang zhan 
收储	shou chu 
优惠政策	you hui zheng ce 
办妥	ban tuo 
善堂	shan tang 
教务	jiao wu 
新房	xin fang 
未结	wei jie 
请照	qing zhao 
底楼	di lou 
上算	shang suan 
底层	di ceng 
参观	can guan 
放心	fang xin 
秘书	mi shu 
标书	biao shu 
系数	xi shu 
校验	jiao yan 
植树造林	zhi shu zao lin 
承包地	cheng bao di 
扩地	kuo di 
管店	guan dian 
冲子	chong zi 
文山	wen shan 
华融	hua rong 
采石场	cai shi chang 
有林地	you lin di 
开地	kai di 
水洼	shui wa 
皮包	pi bao 
呼救	hu jiu 
栽树	zai shu 
四轮车	si lun che 
淅荆	xi jing 
进口关税	jin kou guan shui 
进口商品	jin kou shang pin 
样品	yang pin 
检验站	jian yan zhan 
外烟	wai yan 
烟梗	yan geng 
霉变	mei bian 
烟丝	yan si 
参与度	can yu du 
所患	suo huan 
力为	li wei 
因素	yin su 
参考	can kao 
精制	jing zhi 
上开	shang kai 
水钱	shui qian 
电表	dian biao 
当成	dang cheng 
发货	fa huo 
低质量	di zhi liang 
平分	ping fen 
高质量	gao zhi liang 
水轮泵	shui lun beng 
拦河坝	lan he ba 
所留	suo liu 
瓶口	ping kou 
几率	ji lv 
毫州市	hao zhou shi 
长生	chang sheng 
总费用	zong fei yong 
氧化钠	yang hua na 
氧化钾	yang hua jia 
勾兑	gou dui 
液化气	ye hua qi 
小于	xiao yu 
低压电器	di ya dian qi 
成套设备	cheng tao she bei 
强制性	qiang zhi xing 
加工场	jia gong chang 
检验所	jian yan suo 
超出	chao chu 
浓度	nong du 
水槽	shui cao 
水坑	shui keng 
盐业	yan ye 
检测站	jian ce zhan 
干盐	gan yan 
哪吒闹海	ne zha nao hai 
烟花爆竹	yan hua bao zhu 
药量	yao liang 
残留量	can liu liang 
圆台	yuan tai 
材料厂	cai liao chang 
所查盐	suo cha yan 
契税	qi shui 
市南区	shi nan qu 
对照表	dui zhao biao 
交接	jiao jie 
会议室	hui yi shi 
活动室	huo dong shi 
区五	qu wu 
液化气罐	ye hua qi guan 
村村	cun cun 
干部群众	gan bu qun zhong 
闯进	chuang jin 
诉求	su qiu 
受邀	shou yao 
电白	dian bai 
高血压病	gao xue ya bing 
索贿	suo hui 
干扰	gan rao 
群发	qun fa 
钢笔	gang bi 
切除	qie chu 
时系	shi xi 
列为	lie wei 
流入	liu ru 
夺回	duo hui 
发觉	fa jue 
辩方	bian fang 
等能	deng neng 
未央区	wei yang qu 
无名	wu ming 
禅城区	chan cheng qu 
牙医	ya yi 
皮肤病	pi fu bing 
卫生部门	wei sheng bu men 
骨科	gu ke 
优字	you zi 
双定	shuang ding 
优抚	you fu 
退伍军人	tui wu jun ren 
复员	fu yuan 
事业费	shi ye fei 
办请	ban qing 
陪侍	pei shi 
同伙	tong huo 
缉私局	ji si ju 
靠右	kao you 
横过	heng guo 
机动车道	ji dong che dao 
中心线	zhong xin xian 
中任	zhong ren 
后学	hou xue 
接听	jie ting 
停机	ting ji 
直属	zhi shu 
严管	yan guan 
处遇	chu yu 
短期培训	duan qi pei xun 
针对性	zhen dui xing 
知识	zhi shi 
物业管理	wu ye guan li 
推进	tui jin 
岗系	gang xi 
贷审会	dai shen hui 
手术费	shou shu fei 
护工	hu gong 
义眼	yi yan 
进价	jin jia 
后门	hou men 
逃脱	tao tuo 
眼镜	yan jing 
过程中将	guo cheng zhong jiang 
出租汽车	chu zu qi che 
渔村	yu cun 
个体老板	ge ti lao ban 
密谋	mi mou 
搭载	da zai 
政法	zheng fa 
持械	chi xie 
年程	nian cheng 
停用	ting yong 
常住	chang zhu 
下落	xia luo 
聚圆	ju yuan 
开立	kai li 
盛融	sheng rong 
A座	A zuo 
现金支付	xian jin zhi fu 
机上	ji shang 
拨给	bo gei 
分社	fen she 
排险	pai xian 
公房	gong fang 
摔伤	shuai shang 
认字	ren zi 
公交	gong jiao 
经盘	jing pan 
开卡	kai ka 
本卡	ben ka 
输钱	shu qian 
档案室	dang an shi 
尸检	shi jian 
治伤	zhi shang 
将市	jiang shi 
特勤	te qin 
防范	fang fan 
楼梯间	lou ti jian 
保安人员	bao an ren yuan 
碰见	peng jian 
肠店	chang dian 
提拱	ti gong 
所受	suo shou 
商业街	shang ye jie 
举报人	ju bao ren 
接报	jie bao 
宰杀	zai sha 
土管	tu guan 
说情	shuo qing 
贪腐	tan fu 
影碟	ying die 
河堤	he di 
越界	yue jie 
突出	tu chu 
入网	ru wang 
只得	zhi de 
意见反馈	yi jian fan kui 
投入使用	tou ru shi yong 
农资	nong zi 
救助金	jiu zhu jin 
救济金	jiu ji jin 
灾民	zai min 
贫困户	pin kun hu 
国家补贴	guo jia bu tie 
提走	ti zou 
插班	cha ban 
后田	hou tian 
读书	du shu 
手榴弹	shou liu dan 
弹药	dan yao 
入读	ru du 
立案查处	li an cha chu 
后者	hou zhe 
勒流	lei liu 
协管员	xie guan yuan 
街道办	jie dao ban 
维稳	wei wen 
流动人口	liu dong ren kou 
苹果公司	ping guo gong si 
获知	huo zhi 
暂住地	zan zhu di 
办证	ban zheng 
讲解	jiang jie 
人才	ren cai 
祖庙	zu miao 
领取证	ling qu zheng 
驾照	jia zhao 
出生证	chu sheng zheng 
私章	si zhang 
规律	gui lv 
上给	shang gei 
稿纸	gao zhi 
重点保护	zhong dian bao hu 
客户端	ke hu duan 
后台	hou tai 
编辑	bian ji 
故障	gu zhang 
书城	shu cheng 
户头	hu tou 
下载	xia zai 
登陆	deng lu 
交易平台	jiao yi ping tai 
神魔	shen mo 
网络游戏	wang luo you xi 
挂接	gua jie 
外挂	wai gua 
正版	zheng ban 
甄别	zhen bie 
拨打	bo da 
代理商	dai li shang 
独家	du jia 
光明	guang ming 
插件	cha jian 
接口	jie kou 
数码技术	shu ma ji shu 
畅游	chang you 
后任	hou ren 
研发部	yan fa bu 
室主任	shi zhu ren 
互联网站	hu lian wang zhan 
防火墙	fang huo qiang 
收听	shou ting 
绕开	rao kai 
收看	shou kan 
访问	fang wen 
图文	tu wen 
肉包	rou bao 
代收款	dai shou kuan 
假发票	jia fa piao 
二维码	er wei ma 
共建	gong jian 
新品种	xin pin zhong 
鸟用	niao yong 
气枪	qi qiang 
共字	gong zi 
用作	yong zuo 
子口	zi kou 
伪造证件	wei zao zheng jian 
胶版	jiao ban 
女织	nv zhi 
塑封机	su feng ji 
交往	jiao wang 
航拍	hang pai 
遥控器	yao kong qi 
模型	mo xing 
将东	jiang dong 
测得	ce de 
免税	mian shui 
养猪场	yang zhu chang 
回填	hui tian 
土坑	tu keng 
行使权力	xing shi quan li 
工会	gong hui 
医疗系统	yi liao xi tong 
报到证	bao dao zheng 
推荐书	tui jian shu 
保险带	bao xian dai 
危石	wei shi 
岩顶	yan ding 
山石	shan shi 
技防	ji fang 
留于	liu yu 
分片	fen pian 
意志	yi zhi 
着手	zhuo shou 
童车	tong che 
暖风机	nuan feng ji 
外包装	wai bao zhuang 
粘贴	zhan tie 
交通部门	jiao tong bu men 
记入	ji ru 
钟段	zhong duan 
北组	bei zu 
鞭炮	bian pao 
减肥药	jian fei yao 
生产日期	sheng chan ri qi 
生产厂家	sheng chan chang jia 
通水	tong shui 
塑料管	su liao guan 
坑里	keng li 
厂子	chang zi 
产品检验	chan pin jian yan 
定点	ding dian 
疫情	yi qing 
实德	shi de 
作不	zuo bu 
贿款	hui kuan 
电设备	dian she bei 
发卡行	fa qia xing 
批核	pi he 
私核	si he 
办事员	ban shi yuan 
放贷	fang dai 
前楼	qian lou 
村因	cun yin 
横道	heng dao 
车款	che kuan 
县城	xian cheng 
牛犊	niu du 
标记	biao ji 
御景	yu jing 
水景	shui jing 
挡风玻璃	dang feng bo li 
友发	you fa 
钢管厂	gang guan chang 
衣兜	yi dou 
爆炸	bao zha 
追要	zhui yao 
金街	jin jie 
座落	zuo luo 
山路	shan lu 
证编号	zheng bian hao 
证明单	zheng ming dan 
帮喻	bang yu 
发电场	fa dian chang 
风力	feng li 
代买	dai mai 
火药枪	huo yao qiang 
内持	nei chi 
射伤	she shang 
人寿	ren shou 
设有	she you 
假名字	jia ming zi 
电视机	dian shi ji 
藏匿于	cang ni yu 
角处	jiao chu 
拐弯	guai wan 
液晶	ye jing 
入监	ru jian 
监为	jian wei 
想出	xiang chu 
帝都	di du 
白金	bai jin 
附卡	fu ka 
客服	ke fu 
催款	cui kuan 
劳察令字	lao cha ling zi 
确人	que ren 
经营责任制	jing ying ze ren zhi 
总队	zong dui 
掺入	can ru 
添加	tian jia 
豆浆机	dou jiang ji 
有效期限	you xiao qi xian 
领回	ling hui 
人藏	ren cang 
类别	lei bie 
原主	yuan zhu 
请许	qing xu 
报价	bao jia 
骏杰	jun jie 
加具	jia ju 
原厂	yuan chang 
视频会议	shi pin hui yi 
耗材	hao cai 
橡塑	xiang su 
全钢	quan gang 
股份公司	gu fen gong si 
重庆百货大楼股份有限公司	chong qing bai huo da lou gu fen you xian gong si 
审签	shen qian 
事业部	shi ye bu 
存进	cun jin 
写错	xie cuo 
得来	de lai 
海鸥	hai ou 
器械	qi xie 
协议价	xie yi jia 
小组会	xiao zu hui 
三剂	san ji 
推荐	tui jian 
科技实业	ke ji shi ye 
国人	guo ren 
下单	xia dan 
议价	yi jia 
询价	xun jia 
智寰	zhi huan 
科教	ke jiao 
理科	li ke 
仪器	yi qi 
脱硫	tuo liu 
备件	bei jian 
副科长	fu ke zhang 
借通	jie tong 
小组会议	xiao zu hui yi 
防寒服	fang han fu 
劳保鞋	lao bao xie 
雨鞋	yu xie 
发邮件	fa you jian 
雨衣	yu yi 
管理决策	guan li jue ce 
全能	quan neng 
化名	hua ming 
接手	jie shou 
教学资料	jiao xue zi liao 
副校长	fu xiao zhang 
中学	zhong xue 
新闻记者	xin wen ji zhe 
范本	fan ben 
称臻	cheng zhen 
印刷机	yin shua ji 
机身	ji shen 
年份	nian fen 
生产线	sheng chan xian 
印刷厂	yin shua chang 
纸张	zhi zhang 
纸业	zhi ye 
市建	shi jian 
彩印厂	cai yin chang 
胶片	jiao pian 
了毕	le bi 
飞鸽	fei ge 
生活用品	sheng huo yong pin 
能供	neng gong 
维系	wei xi 
交流	jiao liu 
学习	xue xi 
抚摸	fu mo 
舌头	she tou 
带有	dai you 
关村	guan cun 
务农	wu nong 
疗店	liao dian 
文静	wen jing 
外加剂	wai jia ji 
保住	bao zhu 
吧台	ba tai 
头尾	tou wei 
上家	shang jia 
庄家	zhuang jia 
电城	dian cheng 
强到	qiang dao 
按摩	an mo 
过节费	guo jie fei 
未入	wei ru 
堡子	bu zi 
笔迹	bi ji 
时应	shi ying 
重婚罪	chong hun zui 
确因	que yin 
铲土	chan tu 
中层	zhong ceng 
埋葬	mai zang 
附民	fu min 
检验费	jian yan fei 
发佩	fa pei 
过关	guo guan 
需提交	xu ti jiao 
目录	mu lu 
干果	gan guo 
酒业	jiu ye 
意向	yi xiang 
交易价格	jiao yi jia ge 
资料费	zi liao fei 
书籍费	shu ji fei 
授课	shou ke 
指导书	zhi dao shu 
除害	chu hai 
木质	mu zhi 
开车	kai che 
机关报	ji guan bao 
U盘	U pan 
系用	xi yong 
投影仪	tou ying yi 
并发	bing fa 
赢动牌	ying dong pai 
超威牌	chao wei pai 
铭牌	ming pai 
推出	tui chu 
轮渡	lun du 
毯盖	tan gai 
防爆	fang bao 
疏散	shu san 
骑行	qi xing 
医政	yi zheng 
股份合作	gu fen he zuo 
业户	ye hu 
京朝	jing chao 
变诉	bian su 
取自	qu zi 
军警	jun jing 
外观	wai guan 
定牌	ding pai 
相悖	xiang bei 
香皂	xiang zao 
消除	xiao chu 
审前	shen qian 
退交	tui jiao 
特情	te qing 
误差率	wu cha lv 
审定	shen ding 
欠佳	qian jia 
零星	ling xing 
荔法	li fa 
少刑	shao xing 
提审	ti shen 
顶替	ding ti 
划入	hua ru 
立字	li zi 
作案现场	zuo an xian chang 
南价	nan jia 
认鉴	ren jian 
干扰器	gan rao qi 
职业技能	zhi ye ji neng 
人民警察	ren min jing cha 
市刑	shi xing 
财社	cai she 
职业培训	zhi ye pei xun 
支路	zhi lu 
纪念	ji nian 
仿制	fang zhi 
学院路	xue yuan lu 
步枪	bu qiang 
制造局	zhi zao ju 
注射液	zhu she ye 
保肝	bao gan 
止血	zhi xue 
砸毁	za hui 
洋稿	yang gao 
军委	jun wei 
斧头	fu tou 
私藏	si cang 
金戒指	jin jie zhi 
打到	da dao 
需借	xu jie 
籍口	ji kou 
了谢	le xie 
老师	lao shi 
平安保险	ping an bao xian 
宫颈癌	gong jing ai 
草沟	cao gou 
对讲机	dui jiang ji 
农名	nong ming 
补款	bu kuan 
专款	zhuan kuan 
同住	tong zhu 
表哥	biao ge 
新密	xin mi 
上归	shang gui 
应系	ying xi 
后悔	hou hui 
受助	shou zhu 
药款	yao kuan 
替诺	ti nuo 
减退	jian tui 
国产	guo chan 
银川	yin chuan 
分管领导	fen guan ling dao 
批示	pi shi 
排水	pai shui 
风山	feng shan 
居民小区	ju min xiao qu 
商定	shang ding 
牛肉	niu rou 
简图	jian tu 
意见栏	yi jian lan 
公证书	gong zheng shu 
汽车贸易	qi che mao yi 
总包	zong bao 
商会	shang hui 
星球	xing qiu 
行经	xing jing 
眼液	yan ye 
扳手	ban shou 
平成	ping cheng 
汽修厂	qi xiu chang 
水壶	shui hu 
拳头	quan tou 
医科大学	yi ke da xue 
镜检查	jing jian cha 
失眠	shi mian 
新居	xin ju 
资罚字	zi fa zi 
广业	guang ye 
社察理字	she cha li zi 
口服	kou fu 
汉庭	han ting 
火势	huo shi 
燃起	ran qi 
公寓	gong yu 
灯光	deng guang 
要账	yao zhang 
辛到	xin dao 
地磅	di bang 
承包商	cheng bao shang 
复燃	fu ran 
上坟	shang fen 
烧纸	shao zhi 
总台	zong tai 
飞云	fei yun 
抓扯	zhua che 
水泥管	shui ni guan 
铁锹	tie qiao 
鼻腔	bi qiang 
住客	zhu ke 
积水	ji shui 
趴在	pa zai 
时尚	shi shang 
稽查人员	ji cha ren yuan 
降为	jiang wei 
吵闹	chao nao 
喧哗	xuan hua 
票款	piao kuan 
怠于	dai yu 
兴融	xing rong 
羽毛球	yu mao qiu 
教室	jiao shi 
票面额	piao mian e 
仿照	fang zhao 
二手车	er shou che 
缴税	jiao shui 
预防性	yu fang xing 
体检	ti jian 
封皮	feng pi 
电算化	dian suan hua 
课程	ke cheng 
仅该	jin gai 
基础知识	ji chu zhi shi 
师资	shi zi 
招待费	zhao dai fei 
分校	fen xiao 
核验	he yan 
建议书	jian yi shu 
质保金	zhi bao jin 
招远市	zhao yuan shi 
全力	quan li 
能源建设	neng yuan jian she 
电力	dian li 
工程部	gong cheng bu 
创拓	chuang tuo 
航站楼	hang zhan lou 
建筑设备	jian zhu she bei 
部副	bu fu 
五常市	wu chang shi 
金属结构	jin shu jie gou 
屋面	wu mian 
体育馆	ti yu guan 
水工	shui gong 
咨询部	zi xun bu 
博览会	bo lan hui 
独资企业	du zi qi ye 
刻印	ke yin 
沟头	gou tou 
了下	le xia 
卖掉	mai diao 
解体	jie ti 
社员	she yuan 
逃走	tao zou 
所鼎	suo ding 
诚司	cheng si 
车痕	che hen 
鉴字	jian zi 
属性	shu xing 
照灯	zhao deng 
标明	biao ming 
汽油车	qi you che 
赔钱	pei qian 
生产队	sheng chan dui 
社长	she zhang 
原车	yuan che 
船山区	chuan shan qu 
车属	che shu 
类型	lei xing 
索赔	suo pei 
威逼	wei bi 
思源	si yuan 
制动	zhi dong 
轮胎	lun tai 
转向	zhuan xiang 
全社	quan she 
参数	can shu 
瑕疵	xia ci 
参数设置	can shu she zhi 
陪标	pei biao 
找来	zhao lai 
环光	huan guang 
不上	bu shang 
方向	fang xiang 
信封	xin feng 
对用	dui yong 
端掉	duan diao 
肉鸡	rou ji 
病死	bing si 
出击	chu ji 
做到	zuo dao 
爆仓	bao cang 
赚大钱	zhuan da qian 
现货	xian huo 
新人	xin ren 
打不死	da bu si 
捉住	zhuo zhu 
用户	yong hu 
注射	zhu she 
关机	guan ji 
手脚	shou jiao 
捆绑	kun bang 
估价鉴定	gu jia jian ding 
工时费	gong shi fei 
证明信	zheng ming xin 
王家	wang jia 
调查结果	diao cha jie guo 
森林资源	sen lin zi yuan 
赔为	pei wei 
油松	you song 
微贷	wei dai 
人工	ren gong 
城建税	cheng jian shui 
逃交	tao jiao 
卖房	mai fang 
财校	cai xiao 
教学点	jiao xue dian 
教学设施	jiao xue she shi 
承租权	cheng zu quan 
创办人	chuang ban ren 
助学	zhu xue 
校长	xiao zhang 
无照	wu zhao 
定量	ding liang 
救济款	jiu ji kuan 
追款	zhui kuan 
共享	gong xiang 
政发	zheng fa 
肢体	zhi ti 
视力	shi li 
使该	shi gai 
劳服	lao fu 
部队	bu dui 
公安部门	gong an bu men 
智力	zhi li 
评定表	ping ding biao 
畸形	ji xing 
经张	jing zhang 
安居工程	an ju gong cheng 
拆迁房	chai qian fang 
专用车	zhuan yong che 
停靠在	ting kao zai 
进站	jin zhan 
店门口	dian men kou 
八字	ba zi 
谋生	mou sheng 
瓷厂	ci chang 
老百姓	lao bai xing 
楼澜	lou lan 
销售额	xiao shou e 
基酒	ji jiu 
原文	yuan wen 
请款单	qing kuan dan 
管理者	guan li zhe 
合格证书	he ge zheng shu 
渔船	yu chuan 
船主	chuan zhu 
水砂	shui sha 
适航证	shi hang zheng 
检验证书	jian yan zheng shu 
采运	cai yun 
仪征	yi zheng 
修造	xiu zao 
造船	zao chuan 
建造	jian zao 
检验局	jian yan ju 
渔业	yu ye 
合犯	he fan 
个人身份	ge ren shen fen 
适任	shi ren 
砾石	li shi 
港务费	gang wu fei 
海事处	hai shi chu 
砂坡	sha po 
受载	shou zai 
了采	le cai 
沉没	chen mo 
一带	yi dai 
海警	hai jing 
罐笼	guan long 
航运	hang yun 
陶瓷原料	tao ci yuan liao 
佑泽	you ze 
逛街	guang jie 
网址	wang zhi 
所收	suo shou 
体积	ti ji 
黄色素	huang se su 
注射用	zhu she yong 
服装品牌	fu zhuang pin pai 
引进	yin jin 
行规	hang gui 
台子	tai zi 
主客观	zhu ke guan 
罪过	zui guo 
以致于	yi zhi yu 
错觉	cuo jue 
持有人	chi you ren 
指向	zhi xiang 
海关监管	hai guan jian guan 
概括性	gai kuo xing 
跨境	kua jing 
利率	li lv 
底账	di zhang 
上以	shang yi 
未上市	wei shang shi 
投资额	tou zi e 
信托	xin tuo 
原始	yuan shi 
藏品	cang pin 
运中民	yun zhong min 
如约	ru yue 
户数	hu shu 
小学老师	xiao xue lao shi 
做生意	zuo sheng yi 
诱惑	you huo 
挂牌	gua pai 
批号	pi hao 
热轧	re ya 
食品药品	shi pin yao pin 
离断	li duan 
海狗	hai gou 
补肾	bu shen 
冠心病	guan xin bing 
死者	si zhe 
单方	dan fang 
投保单	tou bao dan 
自交	zi jiao 
策性	ce xing 
政策性	zheng ce xing 
理赔金	li pei jin 
稻田	dao tian 
后楼	hou lou 
开封	kai feng 
牌号	pai hao 
蓝色	lan se 
鸳湖路	yuan hu lu 
路由	lu you 
交通民警	jiao tong min jing 
道口	dao kou 
国商	guo shang 
乡道	xiang dao 
历城区	li cheng qu 
人民广场	ren min guang chang 
加气	jia qi 
思路	si lu 
制冷	zhi leng 
系原	xi yuan 
设备厂	she bei chang 
金属材料	jin shu cai liao 
乐园	le yuan 
洋行	yang hang 
操守	cao shou 
作罢	zuo ba 
会面	hui mian 
私家	si jia 
碰到	peng dao 
示意图	shi yi tu 
调查过程	diao cha guo cheng 
面签	mian qian 
历城	li cheng 
指纹	zhi wen 
面谈	mian tan 
问取	wen qu 
帮人	bang ren 
局内	ju nei 
待岗	dai gang 
办公会	ban gong hui 
停职	ting zhi 
停发	ting fa 
前款	qian kuan 
精矿	jing kuang 
胶丸	jiao wan 
重大案件	zhong da an jian 
间接原因	jian jie yuan yin 
出生日期	chu sheng ri qi 
外行	wai hang 
收方	shou fang 
火工	huo gong 
运政	yun zheng 
巨化	ju hua 
控股权	kong gu quan 
扩股	kuo gu 
增资	zeng zi 
产业链	chan ye lian 
犀牛角	xi niu jiao 
濒危	bin wei 
物种	wu zhong 
野生动物	ye sheng dong wu 
大鲵	da ni 
动植物种	dong zhi wu zhong 
长臂猿	chang bi yuan 
附录	fu lu 
头骨	tou gu 
金丝猴	jin si hou 
犀科	xi ke 
付完	fu wan 
知情	zhi qing 
毁灭	hui mie 
房山	fang shan 
载物	zai wu 
避让	bi rang 
未戴	wei dai 
未标明	wei biao ming 
头盔	tou kui 
证驾	zheng jia 
减速慢行	jian su man xing 
超车	chao che 
车距	che ju 
追尾	zhui wei 
前车	qian che 
车速	che su 
沉陷	chen xian 
工农	gong nong 
做工	zuo gong 
花名	hua ming 
煤化工	mei hua gong 
煤碳	mei tan 
烤火	kao huo 
銮艺	luan yi 
重油	zhong you 
供应价格	gong ying jia ge 
看清	kan qing 
复绿	fu lv 
扑火	pu huo 
广告费	guang gao fei 
媒体	mei ti 
让给	rang gei 
所持	suo chi 
偿付	chang fu 
经侦大队	jing zhen da dui 
鸿运	hong yun 
石榴园	shi liu yuan 
会计人员	kuai ji ren yuan 
幼儿	you er 
磨房	mo fang 
同堂	tong tang 
侄媳	zhi xi 
堂兄弟	tang xiong di 
叔侄	shu zhi 
网友	wang you 
情侣	qing lv 
外甥女	wai sheng nv 
乡亲	xiang qin 
素有	su you 
海巷	hai xiang 
味店	wei dian 
袭警案	xi jing an 
检查表	jian cha biao 
大理	da li 
筹备组	chou bei zu 
验车	yan che 
收监	shou jian 
沉金	chen jin 
异物	yi wu 
法刑	fa xing 
共犯	gong fan 
异案	yi an 
西刑	xi xing 
烟民	yan min 
海公	hai gong 
颧面	quan mian 
剥脱	bao tuo 
表皮	biao pi 
思域	si yu 
肋区	le qu 
创角	chuang jiao 
创缘	chuang yuan 
创壁	chuang bi 
间桥	jian qiao 
创腔	chuang qiang 
创口	chuang kou 
留在	liu zai 
编写	bian xie 
吊机	diao ji 
吊装	diao zhuang 
五道口	wu dao kou 
起获	qi huo 
不算	bu suan 
刀片	dao pian 
耳朵	er duo 
割下来	ge xia lai 
没动	mei dong 
放于	fang yu 
春雨	chun yu 
售房款	shou fang kuan 
工委	gong wei 
修车	xiu che 
标准分	biao zhun fen 
每公斤	mei gong jin 
提原	ti yuan 
应抵	ying di 
说理	shuo li 
抢占	qiang zhan 
时遇	shi yu 
